Order_ID,Order_Date,Delivery_Date,Order_Type,Product_ID,Product_Line,Product_Category,Quantity,Retail_Price,Cost_Price,Customer_Country,Customer_Continent,Customer_Age_Group
1244333154,31DEC2018,31DEC2018,1,220100100579,Clothes & Shoes,Clothes,2,121.4,60.9,au,Australia/Pacific,15-30 years
1244333003,30DEC2018,30DEC2018,1,240700200019,Sports,Team Sports,2,33.8,17.2,US,North America,31-45 years
1244332615,30DEC2018,03JAN2019,3,240800200064,Sports,Winter Sports,3,53.97,52.2,US,North America,15-30 years
1244332545,30DEC2018,31DEC2018,3,240100400112,Sports,Assorted Sports Articles,1,114,54.8,US,North America,15-30 years
1244332330,30DEC2018,30DEC2018,1,240200100091,Sports,Golf,3,38.1,16.65,US,North America,31-45 years
1244331987,30DEC2018,30DEC2018,1,240600100200,Sports,Swim Sports,1,19.4,8.3,US,North America,15-30 years
1244331528,30DEC2018,04JAN2019,2,240800100053,Sports,Winter Sports,3,800.1,320.25,US,North America,61-75 years
1244331410,30DEC2018,30DEC2018,1,240100400078,Sports,Assorted Sports Articles,2,701,350.4,US,North America,46-60 years
1244331099,30DEC2018,30DEC2018,1,240700100006,Sports,Team Sports,2,47,19,US,North America,61-75 years
1244331022,30DEC2018,03JAN2019,2,230100100015,Outdoors,Outdoors,2,213.8,91,NL,Europe,46-60 years
1244330774,30DEC2018,03JAN2019,2,230100100037,Outdoors,Outdoors,2,95.8,42.8,NL,Europe,46-60 years
1244330552,30DEC2018,31DEC2018,2,230100500087,Outdoors,Outdoors,1,97.5,40.55,NL,Europe,46-60 years
1244330526,30DEC2018,30DEC2018,1,220101200014,Clothes & Shoes,Clothes,2,195.8,85,NL,Europe,15-30 years
1244330199,30DEC2018,30DEC2018,1,230100100014,Outdoors,Outdoors,4,1413.2,639.8,IT,Europe,15-30 years
1244329650,30DEC2018,30DEC2018,1,230100100051,Outdoors,Outdoors,4,739.6,312.6,IT,Europe,31-45 years
1244329598,30DEC2018,30DEC2018,1,220100500026,Clothes & Shoes,Clothes,4,252,114.8,IT,Europe,31-45 years
1244329484,30DEC2018,30DEC2018,1,220200100199,Clothes & Shoes,Shoes,2,300.6,150.5,IT,Europe,31-45 years
1244329484,30DEC2018,30DEC2018,1,220200100021,Clothes & Shoes,Shoes,2,208.8,104.6,IT,Europe,31-45 years
1244329348,30DEC2018,30DEC2018,1,230100100015,Outdoors,Outdoors,2,213.8,91,IT,Europe,46-60 years
1244329149,30DEC2018,31DEC2018,2,220200200010,Clothes & Shoes,Shoes,2,133.6,60.7,IT,Europe,15-30 years
1244329100,30DEC2018,30DEC2018,1,240100200004,Sports,Assorted Sports Articles,4,140.8,59.2,GB,Europe,61-75 years
1244329077,30DEC2018,30DEC2018,1,240100200001,Sports,Assorted Sports Articles,2,32,12.7,GB,Europe,46-60 years
1244328939,30DEC2018,30DEC2018,1,240200100222,Sports,Golf,2,169.4,84.9,GB,Europe,15-30 years
1244328853,30DEC2018,04JAN2019,1,240100400036,Sports,Assorted Sports Articles,1,213.3,104.1,GB,Europe,61-75 years
1244328700,30DEC2018,03JAN2019,3,220100100172,Clothes & Shoes,Clothes,2,220.6,110.5,GB,Europe,46-60 years
1244328685,30DEC2018,01JAN2019,2,220100700005,Clothes & Shoes,Clothes,2,347,165.3,GB,Europe,46-60 years
1244328654,30DEC2018,01JAN2019,2,220100300038,Clothes & Shoes,Clothes,2,288,118.1,GB,Europe,15-30 years
1244328538,30DEC2018,30DEC2018,1,240100200008,Sports,Assorted Sports Articles,2,64.8,26.8,GB,Europe,15-30 years
1244328405,30DEC2018,30DEC2018,1,220100100315,Clothes & Shoes,Clothes,8,136,68.8,GB,Europe,15-30 years
1244327991,30DEC2018,30DEC2018,1,220100100223,Clothes & Shoes,Clothes,2,96,48.2,FR,Europe,31-45 years
1244327603,30DEC2018,30DEC2018,1,240500100008,Sports,Running - Jogging,3,200.7,91.35,FR,Europe,15-30 years
1244327330,30DEC2018,30DEC2018,1,220101400386,Clothes & Shoes,Clothes,2,355.6,162.5,ES,Europe,15-30 years
1244327279,30DEC2018,30DEC2018,1,240100100362,Sports,Assorted Sports Articles,4,40.8,17.8,ES,Europe,31-45 years
1244327246,30DEC2018,30DEC2018,1,220100100579,Clothes & Shoes,Clothes,4,242.8,121.8,ES,Europe,46-60 years
1244327070,30DEC2018,30DEC2018,1,240600100025,Sports,Swim Sports,1,78.3,32.9,ES,Europe,46-60 years
1244326429,30DEC2018,30DEC2018,1,240200100038,Sports,Golf,2,37.8,19.1,ES,Europe,31-45 years
1244326234,30DEC2018,03JAN2019,2,240500200075,Sports,Running - Jogging,3,92.4,38.55,DK,Europe,61-75 years
1244326151,30DEC2018,02JAN2019,3,230100500067,Outdoors,Outdoors,1,39.2,20.05,DE,Europe,31-45 years
1244326144,30DEC2018,30DEC2018,1,240400300020,Sports,Racket Sports,2,129.4,58.6,DE,Europe,15-30 years
1244325971,30DEC2018,30DEC2018,1,240100300006,Sports,Assorted Sports Articles,1,53,23.45,DE,Europe,31-45 years
1244325927,30DEC2018,30DEC2018,1,220101400020,Clothes & Shoes,Clothes,2,218.4,99.5,DE,Europe,31-45 years
1244325584,30DEC2018,03JAN2019,2,240400200088,Sports,Racket Sports,2,394.8,164.5,DE,Europe,31-45 years
1244325234,30DEC2018,30DEC2018,1,240500100030,Sports,Running - Jogging,2,109.6,48.6,DE,Europe,31-45 years
1244325201,30DEC2018,30DEC2018,1,220101400294,Clothes & Shoes,Clothes,2,68,31,DE,Europe,15-30 years
1244325186,30DEC2018,31DEC2018,2,220101400008,Clothes & Shoes,Clothes,2,16.8,7.6,be,Europe,31-45 years
1244324781,30DEC2018,09JAN2019,2,220100800020,Clothes & Shoes,Clothes,4,93.2,44.6,AU,Australia/Pacific,15-30 years
1244324772,30DEC2018,04JAN2019,3,240100100386,Sports,Assorted Sports Articles,2,79,33.1,AU,Australia/Pacific,31-45 years
1244324758,30DEC2018,31DEC2018,3,240100100099,Sports,Assorted Sports Articles,2,4.8,4.7,AU,Australia/Pacific,46-60 years
1244324748,30DEC2018,30DEC2018,1,210200600115,Children,Children Sports,4,159.2,69.2,AU,Australia/Pacific,15-30 years
1244324688,30DEC2018,31DEC2018,3,210200300105,Children,Children Sports,2,45.2,22.8,AU,Australia/Pacific,31-45 years
1244324422,30DEC2018,30DEC2018,1,230100500024,Outdoors,Outdoors,1,22.9,10.85,AU,Australia/Pacific,61-75 years
1244324382,30DEC2018,30DEC2018,1,240400300024,Sports,Racket Sports,2,80,36.5,AU,Australia/Pacific,31-45 years
1244324359,30DEC2018,30DEC2018,1,210200900036,Children,Children Sports,2,61,28.2,AU,Australia/Pacific,61-75 years
1244324239,29DEC2018,03JAN2019,3,240100100392,Sports,Assorted Sports Articles,2,302.6,135.9,ZA,Africa,31-45 years
1244324043,29DEC2018,03JAN2019,3,240100100600,Sports,Assorted Sports Articles,4,78,33.4,US,North America,15-30 years
1244323986,29DEC2018,29DEC2018,1,240100400004,Sports,Assorted Sports Articles,1,102.4,51.15,US,North America,15-30 years
1244323981,29DEC2018,03JAN2019,3,240500100033,Sports,Running - Jogging,2,134.6,59.5,US,North America,46-60 years
1244323792,29DEC2018,29DEC2018,1,210200900024,Children,Children Sports,2,37.2,16.3,US,North America,61-75 years
1244323254,29DEC2018,30DEC2018,3,240400200088,Sports,Racket Sports,2,394.8,164.5,US,North America,46-60 years
1244322934,29DEC2018,29DEC2018,1,240700100013,Sports,Team Sports,2,47.98,19.5,US,North America,15-30 years
1244322687,29DEC2018,29DEC2018,1,220200100226,Clothes & Shoes,Shoes,2,266.4,133.4,US,North America,61-75 years
1244322209,29DEC2018,08JAN2019,1,240700400022,Sports,Team Sports,2,70.4,31.1,NL,Europe,46-60 years
1244321530,29DEC2018,29DEC2018,1,230100200069,Outdoors,Outdoors,2,71,30.4,IT,Europe,15-30 years
1244321498,29DEC2018,29DEC2018,1,230100500092,Outdoors,Outdoors,1,117.8,49.05,IT,Europe,61-75 years
1244321174,29DEC2018,30DEC2018,1,230100600008,Outdoors,Outdoors,2,303.4,148.7,IT,Europe,15-30 years
1244321145,29DEC2018,29DEC2018,1,230100600026,Outdoors,Outdoors,2,237.2,118.8,IT,Europe,15-30 years
1244321065,29DEC2018,29DEC2018,1,240200200035,Sports,Golf,3,296.7,118.95,IT,Europe,46-60 years
1244320886,29DEC2018,03JAN2019,1,240100100594,Sports,Assorted Sports Articles,2,24.2,10.2,IT,Europe,46-60 years
1244320821,29DEC2018,29DEC2018,1,240100100646,Sports,Assorted Sports Articles,4,439.6,187.2,IT,Europe,46-60 years
1244320629,29DEC2018,29DEC2018,1,210200300103,Children,Children Sports,2,39.4,19.9,FR,Europe,46-60 years
1244320571,29DEC2018,29DEC2018,1,220200100134,Clothes & Shoes,Shoes,5,272,136.5,FR,Europe,31-45 years
1244320019,29DEC2018,29DEC2018,1,220200300061,Clothes & Shoes,Shoes,2,214.8,97.8,ES,Europe,46-60 years
1244319901,29DEC2018,02JAN2019,3,240100100569,Sports,Assorted Sports Articles,2,92.6,39.8,ES,Europe,15-30 years
1244319790,29DEC2018,29DEC2018,1,210200700020,Children,Children Sports,2,21.4,8.7,ES,Europe,61-75 years
1244319734,29DEC2018,04JAN2019,3,240600100152,Sports,Swim Sports,1,26.6,10.75,ES,Europe,31-45 years
1244319311,29DEC2018,29DEC2018,1,210201000125,Children,Children Sports,-1,55.98,48.1,BE,Europe,31-45 years
1244318757,29DEC2018,29DEC2018,1,220101300019,Clothes & Shoes,Clothes,1,60.8,24.3,AU,Australia/Pacific,61-75 years
1244318745,29DEC2018,29DEC2018,1,230100200049,Outdoors,Outdoors,2,250.4,114.2,AU,Australia/Pacific,31-45 years
1244318546,29DEC2018,02JAN2019,3,210200900053,Children,Children Sports,2,67.8,32.7,AU,Australia/Pacific,31-45 years
1244318489,29DEC2018,29DEC2018,1,230100600018,Outdoors,Outdoors,1,64.2,32.2,AU,Australia/Pacific,31-45 years
1244318470,29DEC2018,29DEC2018,1,220200100244,Clothes & Shoes,Shoes,3,155.4,78,AU,Australia/Pacific,46-60 years
1244318108,28DEC2018,28DEC2018,1,220100800060,Clothes & Shoes,Clothes,2,55.4,26.6,US,North America,15-30 years
1244318000,28DEC2018,28DEC2018,1,240700400008,Sports,Team Sports,2,55.8,24.2,US,North America,61-75 years
1244317965,28DEC2018,28DEC2018,1,240700100011,Sports,Team Sports,2,53.98,20.46,US,North America,31-45 years
1244317871,28DEC2018,28DEC2018,1,220200200021,Clothes & Shoes,Shoes,2,128,75.7,US,North America,15-30 years
1244317243,28DEC2018,06JAN2019,1,220101400059,Clothes & Shoes,Clothes,2,90,41.1,US,North America,15-30 years
1244317145,28DEC2018,28DEC2018,1,240700400008,Sports,Team Sports,2,55.8,24.2,US,North America,31-45 years
1244317031,28DEC2018,28DEC2018,1,220200100033,Clothes & Shoes,Shoes,2,218.6,109.5,US,North America,46-60 years
1244316808,28DEC2018,28DEC2018,1,220100900018,Clothes & Shoes,Clothes,2,75.4,33.1,US,North America,31-45 years
1244316484,28DEC2018,02JAN2019,3,220200200042,Clothes & Shoes,Shoes,2,254.6,116,US,North America,15-30 years
1244316373,28DEC2018,28DEC2018,1,240500100062,Sports,Running - Jogging,2,110.2,48.1,US,North America,15-30 years
1244316243,28DEC2018,03JAN2019,3,230100500082,Outdoors,Outdoors,1,126.1,58.6,PT,Europe,46-60 years
1244315892,28DEC2018,28DEC2018,1,220100200007,Clothes & Shoes,Clothes,4,331.6,132.4,NL,Europe,31-45 years
1244315580,28DEC2018,28DEC2018,1,230100500004,Outdoors,Outdoors,2,6.4,2.7,NL,Europe,15-30 years
1244314590,28DEC2018,28DEC2018,1,220100800066,Clothes & Shoes,Clothes,2,97.6,46.6,IT,Europe,15-30 years
1244314546,28DEC2018,28DEC2018,1,220200200045,Clothes & Shoes,Shoes,2,226,102.9,IT,Europe,46-60 years
1244314105,28DEC2018,02JAN2019,2,240200100056,Sports,Golf,2,82.4,39.8,IT,Europe,15-30 years
1244313598,28DEC2018,28DEC2018,1,230100500081,Outdoors,Outdoors,1,73,30.35,GB,Europe,61-75 years
1244313434,28DEC2018,28DEC2018,1,240300100049,Sports,Indoor Sports,2,23.98,17.8,GB,Europe,31-45 years
1244313272,28DEC2018,04JAN2019,1,240700400018,Sports,Team Sports,2,50,22.2,GB,Europe,31-45 years
1244312148,28DEC2018,28DEC2018,1,220100100124,Clothes & Shoes,Clothes,2,78.6,39.5,FR,Europe,31-45 years
1244311721,28DEC2018,02JAN2019,3,240100100056,Sports,Assorted Sports Articles,2,60,24.1,FR,Europe,31-45 years
1244311590,28DEC2018,05JAN2019,1,240100100589,Sports,Assorted Sports Articles,2,119.4,54.4,FR,Europe,15-30 years
1244311031,28DEC2018,28DEC2018,1,220200100092,Clothes & Shoes,Shoes,3,249,124.8,ES,Europe,15-30 years
1244310980,28DEC2018,29DEC2018,2,240200100061,Sports,Golf,2,186.8,96.3,ES,Europe,31-45 years
1244310894,28DEC2018,28DEC2018,1,240400200016,Sports,Racket Sports,3,587.7,166.65,ES,Europe,31-45 years
1244310592,28DEC2018,01JAN2019,2,230100500056,Outdoors,Outdoors,1,8,3.5,ES,Europe,61-75 years
1244310289,28DEC2018,28DEC2018,1,210200900013,Children,Children Sports,2,60,26.5,ES,Europe,15-30 years
1244309949,28DEC2018,30DEC2018,3,240500100053,Sports,Running - Jogging,2,173,69.3,DK,Europe,15-30 years
1244309801,28DEC2018,02JAN2019,3,240400200095,Sports,Racket Sports,2,447.2,203.2,DE,Europe,31-45 years
1244309599,28DEC2018,28DEC2018,1,240100100640,Sports,Assorted Sports Articles,2,26.6,11.3,DE,Europe,46-60 years
1244309592,28DEC2018,28DEC2018,1,210201000042,Children,Children Sports,2,48.6,22.2,DE,Europe,46-60 years
1244309531,28DEC2018,07JAN2019,1,230100100058,Outdoors,Outdoors,2,96.6,41,DE,Europe,61-75 years
1244309258,28DEC2018,28DEC2018,1,230100700011,Outdoors,Outdoors,1,291.7,120.3,DE,Europe,31-45 years
1244309234,28DEC2018,28DEC2018,1,240500200011,Sports,Running - Jogging,3,92.4,43.05,DE,Europe,15-30 years
1244309125,28DEC2018,28DEC2018,1,240100100036,Sports,Assorted Sports Articles,2,151.6,65.9,DE,Europe,61-75 years
1244308918,28DEC2018,28DEC2018,1,220200200065,Clothes & Shoes,Shoes,2,342.6,169.4,DE,Europe,46-60 years
1244308813,28DEC2018,28DEC2018,1,220100400006,Clothes & Shoes,Clothes,2,227.8,114.1,DE,Europe,61-75 years
1244308779,28DEC2018,28DEC2018,1,220200100108,Clothes & Shoes,Shoes,2,270.4,135.4,DE,Europe,31-45 years
1244308516,28DEC2018,31DEC2018,1,240500200093,Sports,Running - Jogging,2,83.4,39.5,BE,Europe,61-75 years
1244308380,28DEC2018,28DEC2018,1,230100100058,Outdoors,Outdoors,2,96.6,41,BE,Europe,31-45 years
1244308276,28DEC2018,28DEC2018,1,220200200027,Clothes & Shoes,Shoes,2,197.6,85.9,AU,Australia/Pacific,15-30 years
1244308259,28DEC2018,02JAN2019,1,220100100604,Clothes & Shoes,Clothes,2,74.6,37.5,AU,Australia/Pacific,15-30 years
1244307881,28DEC2018,28DEC2018,1,240200100204,Sports,Golf,2,222.6,113.9,AU,Australia/Pacific,46-60 years
1244307880,28DEC2018,28DEC2018,1,220200300014,Clothes & Shoes,Shoes,2,168.4,76.7,AU,Australia/Pacific,46-60 years
1244307376,27DEC2018,27DEC2018,1,220100100464,Clothes & Shoes,Clothes,2,173.4,86.6,US,North America,31-45 years
1244307223,27DEC2018,27DEC2018,1,220200100122,Clothes & Shoes,Shoes,3,254.1,127.35,US,North America,15-30 years
1244307141,27DEC2018,29DEC2018,1,240200100034,Sports,Golf,2,24.4,8.9,US,North America,46-60 years
1244307128,27DEC2018,27DEC2018,1,230100600036,Outdoors,Outdoors,1,103.2,50.4,US,North America,61-75 years
1244305907,27DEC2018,27DEC2018,1,210200100011,Children,Children Sports,2,152,67.5,US,North America,31-45 years
1244305607,27DEC2018,28DEC2018,3,240100100031,Sports,Assorted Sports Articles,2,7.4,2.6,US,North America,46-60 years
1244305579,27DEC2018,30DEC2018,2,230100700011,Outdoors,Outdoors,3,875.1,360.9,SE,Europe,31-45 years
1244305427,27DEC2018,27DEC2018,1,220100300013,Clothes & Shoes,Clothes,2,26.4,13,NL,Europe,31-45 years
1244305225,27DEC2018,27DEC2018,1,230100600005,Outdoors,Outdoors,1,129.8,63.2,NL,Europe,31-45 years
1244304678,27DEC2018,02JAN2019,3,220100400005,Clothes & Shoes,Clothes,4,325.2,163,IT,Europe,15-30 years
1244304333,27DEC2018,27DEC2018,1,240100400070,Sports,Assorted Sports Articles,1,175.9,127.95,IT,Europe,31-45 years
1244303893,27DEC2018,27DEC2018,1,230100100025,Outdoors,Outdoors,4,121.2,52.6,IT,Europe,15-30 years
1244303672,27DEC2018,27DEC2018,1,220101400203,Clothes & Shoes,Clothes,4,83.96,68.6,IT,Europe,46-60 years
1244303173,27DEC2018,27DEC2018,1,240100400079,Sports,Assorted Sports Articles,1,230.3,102.45,GB,Europe,15-30 years
1244302894,27DEC2018,27DEC2018,1,240100100237,Sports,Assorted Sports Articles,4,101.2,40.8,GB,Europe,31-45 years
1244302731,27DEC2018,27DEC2018,1,220101100034,Clothes & Shoes,Clothes,4,47.2,20,GB,Europe,46-60 years
1244302638,27DEC2018,27DEC2018,1,230100600022,Outdoors,Outdoors,1,84.1,42.15,GB,Europe,46-60 years
1244302400,27DEC2018,29DEC2018,3,240100100228,Sports,Assorted Sports Articles,2,12.8,5.8,FR,Europe,15-30 years
1244302088,27DEC2018,27DEC2018,1,220200100129,Clothes & Shoes,Shoes,5,400,197.25,FR,Europe,15-30 years
1244302076,27DEC2018,27DEC2018,1,230100100035,Outdoors,Outdoors,-1,283.2,119.2,FR,Europe,15-30 years
1244301941,27DEC2018,27DEC2018,1,240500200066,Sports,Running - Jogging,2,82.8,34.6,FR,Europe,31-45 years
1244301915,27DEC2018,31DEC2018,3,210201000081,Children,Children Sports,2,55.4,24.8,FR,Europe,15-30 years
1244301143,27DEC2018,27DEC2018,1,220100100183,Clothes & Shoes,Clothes,4,214,107.4,ES,Europe,15-30 years
1244300981,27DEC2018,07JAN2019,2,240600100080,Sports,Swim Sports,1,30.4,9.2,ES,Europe,46-60 years
1244300299,27DEC2018,27DEC2018,1,240700200010,Sports,Team Sports,2,53.8,20.6,DE,Europe,31-45 years
1244300230,27DEC2018,27DEC2018,1,240300200049,Sports,Indoor Sports,2,158.8,72.4,DE,Europe,15-30 years
1244300131,27DEC2018,27DEC2018,1,220200200062,Clothes & Shoes,Shoes,2,177.6,75.6,DE,Europe,46-60 years
1244299949,27DEC2018,27DEC2018,1,240800200047,Sports,Winter Sports,3,273.6,109.65,DE,Europe,15-30 years
1244299879,27DEC2018,27DEC2018,1,240400100012,Sports,Racket Sports,2,992.6,142.7,DE,Europe,15-30 years
1244299833,27DEC2018,31DEC2018,2,230100500096,Outdoors,Outdoors,1,35.5,17.25,DE,Europe,31-45 years
1244299808,27DEC2018,27DEC2018,1,220100100233,Clothes & Shoes,Clothes,4,334,167.4,DE,Europe,46-60 years
1244299757,27DEC2018,01JAN2019,3,230100700004,Outdoors,Outdoors,1,360,199,DE,Europe,15-30 years
1244299748,27DEC2018,30DEC2018,3,230100200063,Outdoors,Outdoors,2,26.2,11.2,DE,Europe,31-45 years
1244299435,27DEC2018,27DEC2018,1,210200500006,Children,Children Sports,2,48,23.9,BE,Europe,31-45 years
1244298413,27DEC2018,31DEC2018,3,210200400037,Children,Children Sports,2,81,40.7,AU,Australia/Pacific,46-60 years
1244298052,26DEC2018,26DEC2018,1,210200400040,Children,Children Sports,2,93,46.7,US,North America,31-45 years
1244297925,26DEC2018,26DEC2018,1,240800200003,Sports,Winter Sports,3,305.63,122.25,US,North America,46-60 years
1244297712,26DEC2018,26DEC2018,1,210200500012,Children,Children Sports,4,316,131.2,US,North America,15-30 years
1244297380,26DEC2018,26DEC2018,1,220101400174,Clothes & Shoes,Clothes,2,26.4,13.3,US,North America,15-30 years
1244297263,26DEC2018,26DEC2018,1,240700100011,Sports,Team Sports,4,107.96,40.92,US,North America,15-30 years
1244297015,26DEC2018,01JAN2019,3,240400200023,Sports,Racket Sports,2,263.4,110,US,North America,46-60 years
1244296699,26DEC2018,26DEC2018,1,220101400329,Clothes & Shoes,Clothes,2,43.6,19.5,US,North America,15-30 years
1244296672,26DEC2018,26DEC2018,1,240800200021,Sports,Winter Sports,3,293.4,127.35,US,North America,46-60 years
1244296440,26DEC2018,26DEC2018,1,220200100046,Clothes & Shoes,Shoes,3,347.4,174,US,North America,15-30 years
1244296320,26DEC2018,26DEC2018,1,220101400098,Clothes & Shoes,Clothes,6,287.4,144.3,US,North America,31-45 years
1244296320,26DEC2018,26DEC2018,1,220100100097,Clothes & Shoes,Clothes,4,130.8,59.8,US,North America,31-45 years
1244296216,26DEC2018,26DEC2018,1,240500100033,Sports,Running - Jogging,2,134.6,59.5,NL,Europe,31-45 years
1244296160,26DEC2018,26DEC2018,1,240100100466,Sports,Assorted Sports Articles,4,160,71.4,NL,Europe,15-30 years
1244296103,26DEC2018,26DEC2018,1,230100100035,Outdoors,Outdoors,2,141.6,59.6,NL,Europe,15-30 years
1244295904,26DEC2018,26DEC2018,1,220200100101,Clothes & Shoes,Shoes,2,122,57.5,NL,Europe,31-45 years
1244295817,26DEC2018,28DEC2018,1,240400300028,Sports,Racket Sports,2,113.98,62.8,NL,Europe,15-30 years
1244295671,26DEC2018,29DEC2018,3,220200300153,Clothes & Shoes,Shoes,2,168.2,78.4,IT,Europe,31-45 years
1244295632,26DEC2018,30DEC2018,3,220100800078,Clothes & Shoes,Clothes,2,58.4,28,IT,Europe,31-45 years
1244295563,26DEC2018,30DEC2018,2,220100100302,Clothes & Shoes,Clothes,2,119,59.7,IT,Europe,46-60 years
1244295549,26DEC2018,26DEC2018,1,230100600033,Outdoors,Outdoors,1,85.1,40.65,IT,Europe,31-45 years
1244295466,26DEC2018,01JAN2019,1,240200100171,Sports,Golf,3,10.2,4.5,IT,Europe,31-45 years
1244295261,26DEC2018,26DEC2018,1,240800100045,Sports,Winter Sports,5,1141,485.25,IT,Europe,15-30 years
1244294889,26DEC2018,26DEC2018,1,240100100569,Sports,Assorted Sports Articles,4,185.2,79.6,IT,Europe,46-60 years
1244294865,26DEC2018,26DEC2018,1,210200600109,Children,Children Sports,2,55,23.5,IT,Europe,61-75 years
1244294594,26DEC2018,26DEC2018,1,240700400008,Sports,Team Sports,4,111.6,48.4,IT,Europe,15-30 years
1244294512,26DEC2018,26DEC2018,1,240100100135,Sports,Assorted Sports Articles,2,529.2,217.2,IT,Europe,31-45 years
1244294415,26DEC2018,26DEC2018,1,230100500046,Outdoors,Outdoors,1,45.6,21.7,GB,Europe,46-60 years
1244294167,26DEC2018,26DEC2018,1,240500200058,Sports,Running - Jogging,3,78.9,37.8,GB,Europe,31-45 years
1244294088,26DEC2018,26DEC2018,1,230100100054,Outdoors,Outdoors,2,680.4,312.1,GB,Europe,15-30 years
1244293755,26DEC2018,02JAN2019,1,220101400244,Clothes & Shoes,Clothes,2,88.4,40.3,GB,Europe,46-60 years
1244293737,26DEC2018,31DEC2018,2,220101400036,Clothes & Shoes,Clothes,2,94.6,35.6,GB,Europe,46-60 years
1244293609,26DEC2018,26DEC2018,1,220200100074,Clothes & Shoes,Shoes,2,115.4,57.9,FR,Europe,31-45 years
1244293555,26DEC2018,26DEC2018,1,220200300088,Clothes & Shoes,Shoes,2,252.4,114.9,FR,Europe,15-30 years
1244293410,26DEC2018,26DEC2018,1,240800200043,Sports,Winter Sports,3,134.1,58.5,FR,Europe,31-45 years
1244293291,26DEC2018,26DEC2018,1,220100100580,Clothes & Shoes,Clothes,2,113,56.7,FR,Europe,61-75 years
1244292866,26DEC2018,26DEC2018,1,220200100126,Clothes & Shoes,Shoes,2,66.8,33.6,FR,Europe,31-45 years
1244292792,26DEC2018,28DEC2018,2,210200600050,Children,Children Sports,4,200,83,FR,Europe,31-45 years
1244292362,26DEC2018,26DEC2018,1,220200100212,Clothes & Shoes,Shoes,2,207,103.7,ES,Europe,61-75 years
1244292194,26DEC2018,26DEC2018,1,240100100398,Sports,Assorted Sports Articles,4,137.2,65.2,ES,Europe,31-45 years
1244292093,26DEC2018,31DEC2018,2,240100200012,Sports,Assorted Sports Articles,2,69.2,28.8,ES,Europe,31-45 years
1244291769,26DEC2018,26DEC2018,1,240300100059,Sports,Indoor Sports,2,75.8,36.4,ES,Europe,46-60 years
1244291411,26DEC2018,26DEC2018,1,230100100013,Outdoors,Outdoors,2,226.2,117.8,DE,Europe,61-75 years
1244291380,26DEC2018,26DEC2018,1,230100500055,Outdoors,Outdoors,1,25.5,10.75,DE,Europe,46-60 years
